latitude,longitude,rwi,error
5.9985331,116.3342285,-0.514,0.512
4.9705600,118.2678223,-0.199,0.533
4.0067400,100.9973145,-0.471,0.544
5.2550677,118.0261230,-0.975,0.515
1.3072596,110.5554199,0.494,0.539
1.1095498,110.5554199,-0.080,0.558
4.0067400,101.7004395,0.270,0.555
5.6706511,117.4108887,0.338,0.587
2.6906608,102.1838379,0.164,0.528
2.3613917,102.2717285,0.073,0.489
0.9337965,110.5334473,-0.073,0.534
4.5764249,118.0480957,-1.034,0.567
5.2113056,117.9162598,-0.916,0.455
3.7436712,102.4694824,-0.064,0.547
4.7297265,116.4880371,-0.160,0.518
4.3135463,100.9533691,-0.214,0.531
1.5488836,103.7878418,1.141,0.567
5.3425828,117.1691895,0.307,0.553
4.3354564,100.7116699,0.139,0.512
5.3207052,116.2243652,-0.436,0.473
6.1733235,100.5358887,0.796,0.557
2.2077054,102.6452637,0.306,0.563
6.2388552,100.7556152,0.722,0.519
5.6050520,117.1032715,-0.213,0.494
5.2769476,116.0266113,-0.406,0.494
3.9848207,101.8981934,0.162,0.522
